src	en	fam	cat	sev	db	rid	conf
视图展开	ViewExpansion	audit	dml	info		aud-viewexpansion	high
ALL修饰的子查询重写	All Qualifier Subquery Rewrite	optimizer	rewrite	error		opt-all-qualifier-subquery-rewrite	high
修饰子查询重写优化	ANY/SOME/ALL Subquery Rewrite Optimization	optimizer	rewrite	info		opt-anysomeall-subquery-rewrite-optimization	high
COUNT标量子查询重写	COUNT Scalar Subquery Rewrite	optimizer	rewrite	info		opt-count-scalar-subquery-rewrite	high
HIVE中COUNT(DISTINCT...) 导致数据倾斜优化	COUNT(DISTINCT) Skew Optimization in Hive	optimizer	rewrite	warning	Hive	opt-countdistinct-skew-optimization-in-hive	high
无分组的聚集函数导致的数据倾斜优化	Data Skew Optimization for Aggregate Without GROUP BY	optimizer	rewrite	warning	Hive	opt-data-skew-optimization-for-aggregate-without-gro	high
关联字段不均匀导致数据倾斜优化	Data Skew Optimization for Uneven Join Keys	optimizer	rewrite	warning	Hive, Spark SQL	opt-data-skew-optimization-for-uneven-join-keys	high
条件标量子查询解关联	Decorate Correlated Scalar Subqueries	optimizer	rewrite	info		opt-decorate-correlated-scalar-subqueries	high
深分页优化	Deep Pagination Optimization	optimizer	rewrite	warning		opt-deep-pagination-optimization	high
派生表转换为Lateral表关联	Derived Table to LATERAL Join Conversion	optimizer	rewrite	info		opt-derived-table-to-lateral-join-conversion	high
HIVE中DISTINCT导致的数据倾斜优化	DISTINCT Skew Optimization in Hive	optimizer	rewrite	warning	Hive	opt-distinct-skew-optimization-in-hive	high
子查询中的DISTINCT消除	Eliminate Unnecessary DISTINCT in Subqueries	optimizer	rewrite	info		opt-eliminate-unnecessary-distinct-in-subqueries	high
EXISTS查询转换为表连接	EXISTS Subquery to Table Join Rewrite	optimizer	rewrite	info		opt-exists-subquery-to-table-join-rewrite	high
过滤谓词下推	Filter Predicate Pushdown	optimizer	rewrite	info		opt-filter-predicate-pushdown	high
HIVE中全局排序导致的数据倾斜优化	Global Sorting Skew Optimization in Hive	optimizer	rewrite	warning	Hive	opt-global-sorting-skew-optimization-in-hive	high
HIVE中分组字段分布不均匀导致数据倾斜优化	Group By Skew Optimization in Hive	optimizer	rewrite	warning	Hive	opt-group-by-skew-optimization-in-hive	high
为分组显式添加空排序(_MYSQL 5.7)	GROUP BY with ORDER BY NULL Optimization	optimizer	rewrite	info	MySQL	opt-group-by-with-order-by-null-optimization	high
HAVING条件下推	HAVING Clause Pushdown to WHERE	optimizer	rewrite	info		opt-having-clause-pushdown-to-where	high
IN子查询优化	IN Subquery Rewrite Optimization	optimizer	rewrite	info		opt-in-subquery-rewrite-optimization	high
表连接消除	JoinElimination	optimizer	rewrite	info		opt-joinelimination	high
LIMIT下推至UNION分支	LIMIT Pushdown to UNION Branches	optimizer	rewrite	info		opt-limit-pushdown-to-union-branches	high
MAX_MIN子查询重写	MAX/MIN Subquery Rewrite	optimizer	rewrite	info		opt-maxmin-subquery-rewrite	high
NPE重写	NPE Rewrite (Null Pointer Exception Prevention)	optimizer	rewrite	warning		opt-npe-rewrite-null-pointer-exception-prevention	high
OR条件的SELECT重写	OR Condition SELECT Rewrite	optimizer	rewrite	info		opt-or-condition-select-rewrite	high
OR条件的UPDELETE重写	OR Condition UPDATE/DELETE Rewrite	optimizer	rewrite	info		opt-or-condition-updatedelete-rewrite	high
ORDER子句重排序优化	ORDER Clause Reorder Optimization	optimizer	index	info		opt-order-clause-reorder-optimization	high
IN子查询中没有LIMIT的排序消除	Order Elimination in Subquery Without LIMIT	optimizer	rewrite	info		opt-order-elimination-in-subquery-without-limit	high
Hive中过滤谓词下推到表关联之前计算	Predicate Pushdown Before Join in Hive	optimizer	rewrite	info	Hive	opt-predicate-pushdown-before-join-in-hive	high
投影下推(PROJECTION PUSHDOWN)	Projection Pushdown	optimizer	rewrite	info		opt-projection-pushdown	high
查询折叠(QUERY FOLDING)	Query Folding	optimizer	rewrite	info		opt-query-folding	high
无条件的DELETE建议重写为Truncate	Rewrite Unconditional DELETE to TRUNCATE	optimizer	rewrite	info		opt-rewrite-unconditional-delete-to-truncate	high
SATTC重写优化	SATTC Rewrite Optimization	optimizer	rewrite	info		opt-sattc-rewrite-optimization	high
选择列标量子查询解关联	Scalar Subquery Unnesting in Select List	optimizer	rewrite	info		opt-scalar-subquery-unnesting-in-select-list	high
UNION ALL统计查询优化	UNION ALL Count Query Optimization	optimizer	rewrite	info		opt-union-all-count-query-optimization	high
Union常量重写优化	Union Constant Rewrite Optimization	optimizer	rewrite	error		opt-union-constant-rewrite-optimization	high
UNION导致的数据倾斜优化	UNION Skew Optimization in Hive	optimizer	rewrite	warning	Hive	opt-union-skew-optimization-in-hive	high
使用 = 替代 IN（单值）	Use Equals Instead of IN with Single Value	optimizer	rewrite	info		opt-use-equals-instead-of-in-with-single-value	high
分布式数据库中使用IN替代OR	Use IN Instead of OR in Distributed Databases	optimizer	rewrite	info	分布式数据库	opt-use-in-instead-of-or-in-distributed-databases	high
使用INSERT…UPDATE替代REPLACE语句	Use INSERT ON DUPLICATE KEY UPDATE Instead of REPLACE	optimizer	rewrite	warning		opt-use-insert-on-duplicate-key-update-instead-of-re	high
使用UNION ALL代替UNION	Use UNION ALL Instead of UNION	optimizer	rewrite	info		opt-use-union-all-instead-of-union	high
窗口分区字段分布不均匀导致数据倾斜	WinFuncSkewedOptimization	optimizer	rewrite	warning	Hive	opt-winfuncskewedoptimization	high
